OI,CHNG_IN_OI,VOLUME,IV,LTP,CHNG,BID_QTY,BID,ASK,ASK_QTY,STRIKE,BID_QTY,BID,ASK,ASK_QTY,CHNG,LTP,IV,VOLUME,CHNG_IN_OI,OI
7822,200,27607,0.0,1149.65,-500.5,180,1141.95,1159.7,45,51500,195,39.5,40.7,15,3.15,40.7,15.31,1605134,434,72009
1591,31,4901,0.0,1059.65,-516.4,30,1057.1,1064.0,15,51600,15,48.0,49.55,765,5.75,49.4,15.16,664634,3952,22602
1720,506,10009,0.0,973.0,-498.75,135,965.25,973.0,285,51700,795,58.0,59.95,30,7.55,58.05,14.88,849836,-7423,27975
2209,690,29099,0.0,889.9,-478.15,30,880.6,888.3,75,51800,180,71.5,73.3,390,14.4,73.0,14.93,1104635,4128,39644
5984,3565,37265,0.0,794.05,-490.5,135,794.65,806.1,45,51900,45,87.0,88.45,45,19.15,87.0,14.75,929878,-9515,30596
30132,10112,464147,0.0,716.4,-486.15,60,716.4,719.7,105,52000,2310,105.0,106.95,180,25.8,105.0,14.66,2801513,3901,111198
9020,5899,162621,6.05,638.4,-466.45,75,639.05,642.0,240,52100,345,127.0,129.5,150,34.15,127.0,14.63,1112960,-248,24319
16206,12616,473822,7.75,563.25,-458.3,30,563.3,570.0,75,52200,300,152.6,155.0,945,44.4,152.15,14.58,1632037,6359,35510
24575,20092,1212250,8.69,495.0,-451.3,15,497.5,499.0,15,52300,450,185.0,186.0,315,61.15,187.0,14.82,2334796,29379,53951
30502,26810,1962021,9.52,436.0,-427.45,15,435.0,436.0,165,52400,15,219.35,223.0,645,77.65,222.5,14.88,2547225,28190,50086
102225,79130,3928310,10.06,380.0,-407.95,150,377.0,380.0,3030,52500,300,262.25,265.0,1875,94.5,262.25,14.95,4420448,26872,108707
59778,54860,2709421,10.23,323.0,-391.7,45,323.0,325.0,585,52600,45,309.0,311.0,315,114.7,309.0,15.13,2645882,16467,44196
61947,54134,2176165,10.64,278.0,-368.2,3705,275.0,278.0,495,52700,285,360.0,362.9,15,136.6,360.0,15.3,1708383,-2980,30953
47306,33042,1621924,10.87,235.0,-344.45,855,235.0,236.0,45,52800,330,417.1,420.6,60,163.5,420.6,15.69,1079610,-30620,17879
38261,5727,1021354,11.15,199.0,-315.25,15,198.0,199.0,165,52900,30,479.05,485.0,45,184.2,479.65,15.85,473535,-44828,18039
148819,33857,2661615,11.42,167.95,-288.05,60,166.0,168.0,645,53000,45,548.0,553.0,345,213.4,548.05,16.24,927064,-84333,53716
78630,12130,1018023,11.67,141.0,-262.6,45,139.3,141.0,690,53100,135,622.0,628.1,30,241.6,622.05,16.73,219417,-31294,25003
87466,15473,1180147,11.92,117.95,-235.75,435,116.05,118.0,1035,53200,75,697.55,705.0,285,274.8,704.0,17.45,141465,-19032,17380
49578,12791,933433,12.11,97.55,-209.1,720,96.2,97.75,30,53300,45,774.35,788.95,15,295.1,777.8,17.69,66768,-8657,9530
46616,17243,803109,12.28,80.0,-184.9,30,80.0,81.0,945,53400,30,858.15,868.4,30,313.25,855.0,17.96,24304,-3073,7515
128649,51086,1609769,12.51,66.4,-160.5,3000,65.0,66.9,390,53500,45,946.0,956.6,30,347.95,952.9,19.16,95183,-3367,12299
50416,28067,685505,12.71,54.5,-139.85,225,54.5,55.05,60,53600,30,1032.45,1043.95,30,369.95,1043.05,19.91,10118,-724,3554
54860,29050,700981,12.85,44.0,-120.85,390,43.95,45.65,60,53700,30,1122.8,1144.8,630,380.55,1125.35,20.19,3735,-337,2644
37253,10458,606175,13.23,37.95,-100.75,30,37.2,37.95,255,53800,180,1215.0,1224.25,225,401.9,1224.25,21.3,3377,-572,863
